Doanh_Thu,Loi_Nhuan,Ty_Le_Loi_Nhuan,Thang_Nam
159982.8736,14860.5060,0.09,2017-12
224472.0640,18034.6604,0.08,2017-11
150040.3644,18002.1898,0.12,2017-10
157530.3640,17658.4694,0.11,2017-9
116100.3320,14920.7708,0.13,2017-8
85956.4320,12850.7496,0.15,2017-7
91416.1790,13911.0348,0.15,2017-6
84105.5916,12165.1890,0.14,2017-5
70162.8682,1996.5416,0.03,2017-4
109137.5096,28727.1672,0.26,2017-3
36336.8248,3304.4862,0.09,2017-2
80017.6360,11755.3358,0.15,2017-1
184498.3660,35502.0356,0.19,2016-12
146818.5116,6307.6866,0.04,2016-11
107162.3980,30023.2360,0.28,2016-10
127843.4378,14255.0560,0.11,2016-9
56571.7486,3283.6926,0.06,2016-8
75733.8940,9031.2056,0.12,2016-7
70092.3100,8776.7730,0.13,2016-6
107459.7020,16448.7562,0.15,2016-5
75095.2860,6119.2674,0.08,2016-4
101637.7260,7396.8126,0.07,2016-3
44938.3580,9842.6970,0.22,2016-2
32212.5180,5090.9740,0.16,2016-1
146501.7544,15419.0672,0.11,2015-12
137455.6686,22389.0912,0.16,2015-11
57838.1750,5438.1502,0.09,2015-10
124916.1560,15490.2492,0.12,2015-9
66871.3040,10760.6154,0.16,2015-8
57216.5180,6489.9112,0.11,2015-7
45525.6520,5909.7440,0.13,2015-6
55967.9130,9155.4276,0.16,2015-5
67149.7010,8324.3220,0.12,2015-4
64448.0768,16757.8146,0.26,2015-3
23902.8220,5627.7016,0.24,2015-2
21366.1552,-2721.1052,-0.13,2015-1
131474.7810,18711.5650,0.14,2014-12
142447.7294,16095.8940,0.11,2014-11
56792.5700,5641.4258,0.10,2014-10
144758.7936,14191.4438,0.10,2014-9
51377.2530,9075.7346,0.18,2014-8
59827.1800,5499.0986,0.09,2014-7
63883.9072,9230.6772,0.14,2014-6
44147.1260,5990.2048,0.14,2014-5
54174.6700,6513.2072,0.12,2014-4
104268.5720,405.6658,0.00,2014-3
6671.6960,1247.3210,0.19,2014-2
28329.7220,4871.0326,0.17,2014-1
