Tong_HD,Tong_HD_Tra,Ty_Le_Tra_Hang,Tieu_Bang,Danh_Muc
2178,372,0.1708,California,"Office Supplies"
810,136,0.1679,California,Furniture
654,98,0.1498,California,Technology
534,66,0.1236,Washington,"Office Supplies"
1236,58,0.0469,"New York","Office Supplies"
1124,54,0.0480,Texas,"Office Supplies"
386,36,0.0933,"New York",Technology
202,32,0.1584,Washington,Furniture
238,30,0.1261,Arizona,"Office Supplies"
186,30,0.1613,Colorado,"Office Supplies"
510,28,0.0549,Illinois,"Office Supplies"
418,24,0.0574,"New York",Furniture
486,24,0.0494,Ohio,"Office Supplies"
232,24,0.1034,Tennessee,"Office Supplies"
146,22,0.1507,Oregon,"Office Supplies"
190,22,0.1158,Washington,Technology
78,20,0.2564,Utah,"Office Supplies"
174,18,0.1034,Ohio,Technology
288,16,0.0556,Michigan,"Office Supplies"
160,16,0.1000,Massachusetts,"Office Supplies"
50,14,0.2800,Oregon,Technology
332,12,0.0361,Texas,Technology
224,12,0.0536,Pennsylvania,Technology
98,12,0.1224,Delaware,"Office Supplies"
410,12,0.0293,Florida,"Office Supplies"
350,10,0.0286,Texas,Furniture
96,10,0.1042,Colorado,Furniture
238,10,0.0420,Pennsylvania,Furniture
636,10,0.0157,Pennsylvania,"Office Supplies"
222,10,0.0450,Georgia,"Office Supplies"
70,10,0.1429,Colorado,Technology
98,10,0.1020,Virginia,Furniture
304,10,0.0329,"North Carolina","Office Supplies"
64,10,0.1563,Mississippi,"Office Supplies"
38,8,0.2105,Tennessee,Technology
156,8,0.0513,Illinois,Technology
64,8,0.1250,Georgia,Furniture
88,8,0.0909,Arizona,Technology
70,8,0.1143,Oklahoma,"Office Supplies"
160,6,0.0375,Ohio,Furniture
40,6,0.1500,Delaware,Technology
92,6,0.0652,Arizona,Furniture
134,6,0.0448,Florida,Technology
66,6,0.0909,Virginia,Technology
54,6,0.1111,Maryland,Furniture
102,6,0.0588,Wisconsin,"Office Supplies"
90,6,0.0667,Tennessee,Furniture
124,6,0.0484,Maryland,"Office Supplies"
64,4,0.0625,Massachusetts,Furniture
140,4,0.0286,"New Jersey","Office Supplies"
42,4,0.0952,Indiana,Furniture
42,4,0.0952,Oregon,Furniture
54,4,0.0741,Wisconsin,Furniture
8,4,0.5000,"New Hampshire",Technology
28,4,0.1429,Maryland,Technology
156,4,0.0256,Florida,Furniture
20,4,0.2000,Montana,"Office Supplies"
234,4,0.0171,Illinois,Furniture
28,4,0.1429,Alabama,Technology
58,4,0.0690,Kentucky,Furniture
76,4,0.0526,"North Carolina",Furniture
18,2,0.1111,"New Mexico",Technology
44,2,0.0455,"New Mexico","Office Supplies"
18,2,0.1111,"Rhode Island",Technology
32,2,0.0625,"Rhode Island",Furniture
52,2,0.0385,Nebraska,"Office Supplies"
98,2,0.0204,Michigan,Furniture
14,2,0.1429,Utah,Technology
46,2,0.0435,Indiana,Technology
40,2,0.0500,"New Jersey",Technology
34,2,0.0588,Massachusetts,Technology
34,2,0.0588,Delaware,Furniture
66,2,0.0303,Georgia,Technology
76,2,0.0263,Missouri,"Office Supplies"
14,2,0.1429,Utah,Furniture
44,2,0.0455,Wisconsin,Technology
8,2,0.2500,"New Mexico",Furniture
36,2,0.0556,Louisiana,"Office Supplies"
250,2,0.0080,Virginia,"Office Supplies"
12,2,0.1667,"New Hampshire",Furniture
26,2,0.0769,Minnesota,Furniture
122,2,0.0164,Minnesota,"Office Supplies"
12,2,0.1667,Idaho,Furniture
6,2,0.3333,Idaho,Technology
100,2,0.0200,"North Carolina",Technology
162,2,0.0123,Kentucky,"Office Supplies"
44,2,0.0455,Kentucky,Technology
22,0,0.0000,Minnesota,Technology
166,0,0.0000,Indiana,"Office Supplies"
68,0,0.0000,Alabama,"Office Supplies"
12,0,0.0000,"South Carolina",Furniture
32,0,0.0000,Iowa,"Office Supplies"
28,0,0.0000,Oklahoma,Technology
22,0,0.0000,Louisiana,Technology
106,0,0.0000,Connecticut,"Office Supplies"
90,0,0.0000,Michigan,Technology
48,0,0.0000,"New Jersey",Furniture
26,0,0.0000,Connecticut,Furniture
48,0,0.0000,Nevada,"Office Supplies"
56,0,0.0000,"Rhode Island","Office Supplies"
18,0,0.0000,Mississippi,Furniture
66,0,0.0000,Arkansas,"Office Supplies"
18,0,0.0000,Missouri,Furniture
24,0,0.0000,Missouri,Technology
8,0,0.0000,Montana,Technology
